event_id,victim_id,victim_type,victim_gender,party1,general_category_1,level_of_government,government_area,event_type,aggressor,date,state,Entity,Totalpopulation,Female_population,Male_population,No_health_services_pop,12_year_old_single_population,ID.1.1,avg_scholarity,home_count,average_number_in_home,GDP
592,641,Authority,Male,PAN,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-06-09,Guanajuato,11,6166934,3170480,2996454,1275190,1678577,1591.6577032584626,8.676868079721608,630.3865865232522,3.849788041758937,701795.455
592,642,Authority,Female,PAN,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Armed Attack,Sujeto(s) armado(s),2022-06-09,Guanajuato,11,6166934,3170480,2996454,1275190,1678577,1591.6577032584626,8.676868079721608,630.3865865232522,3.849788041758937,701795.455
594,644,Authority,Male,PAN,Funcionario(a),Municipal,Executive,Murder,No identificado,2022-06-10,Mexico,15,16992418,8741123,8251295,5672574,4799091,9822.752444987776,10.071827628361858,825.7169926650366,3.6701894865525673,261684.516
598,647,Party,Male,PRD,Militante,State,Elections and Campaigns,Armed Attack,Sujeto(s) armado(s),2022-06-10,Sinaloa,25,3026943,1532110,1494793,575096,814574,1985.9081009296149,9.558257636122176,282.0788844621514,3.4297450199203188,398152.897
595,645,Authority,Male,MORENA,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Murder,Sujeto(s) armado(s),2022-06-11,Quintana_Roo,23,1857985,921206,936779,468580,482478,549.3314065510598,10.03839113680154,685.6666666666666,3.227986512524085,261684.516
596,547,Facility,Does not apply,PRI,No aplica,Municipal,Seguridad (e.g. policías; fuerzas del orden),Armed Attack,Sujeto(s) armado(s),2022-06-11,Zacatecas,32,1622138,831080,791058,326238,406398,993.5205402363534,8.385649971862689,342.0528981429375,3.566724817107485,151882.034
597,646,Facility,Does not apply,PES,No aplica,Municipal,Executive,Armed Attack,Sujeto(s) armado(s),2022-06-11,Guerrero,12,3540685,1840073,1700612,891961,870839,1415.5813780260708,7.39683426443203,490.2283054003725,3.786890130353817,240749.756
599,648,Authority,Male,PRI,Funcionario(a),Municipal,Executive,Murder,Sujeto(s) armado(s),2022-06-11,Oaxaca,20,4132148,2157305,1974843,1215990,1054399,1247.6970552642194,7.563336022589754,633.5691811214199,3.587277127874143,252892.486
600,649,Authority,Male,MC,Funcionario(a),Municipal,Executive,Murder,Sujeto(s) armado(s),2022-06-12,Jalisco,14,8348151,4249689,4098448,2452513,2420768,1825.6772765015223,9.625217270965956,819.3075006919457,3.523448657625242,1216735.696
600,650,Authority,Male,MC,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Armed Attack,Sujeto(s) armado(s),2022-06-12,Jalisco,14,8348151,4249689,4098448,2452513,2420768,1825.6772765015223,9.625217270965956,819.3075006919457,3.523448657625242,1216735.696
600,651,Authority,Male,MC,Funcionario(a),Municipal,Seguridad (e.g. policías; fuerzas del orden),Armed Attack,Sujeto(s) armado(s),2022-06-12,Jalisco,14,8348151,4249689,4098448,2452513,2420768,1825.6772765015223,9.625217270965956,819.3075006919457,3.523448657625242,1216735.696
601,652,Authority,Male,PRI,Ex-Funcionario(a),State,Executive,Kidnapping,Sujeto(s) armado(s),2022-06-12,Guerrero,12,3540685,1840073,1700612,891961,870839,1415.5813780260708,7.39683426443203,490.2283054003725,3.786890130353817,240749.756
606,657,Authority,Male,MORENA,Funcionario(a),State,Seguridad (e.g. policías; fuerzas del orden),Kidnapping,Sujeto(s) armado(s),2022-06-12,Chiapas,7,5543828,2837881,2705947,1814782,1355791,1050.0,7.681076703191996,807.2439256788947,4.093720819437827,261684.516
604,655,Facility,Does not apply,PRI,No aplica,Municipal,Seguridad (e.g. policías; fuerzas del orden),Armed Attack,Sujeto(s) armado(s),2022-06-13,Guerrero,12,3540685,1840073,1700612,891961,870839,1415.5813780260708,7.39683426443203,490.2283054003725,3.786890130353817,240749.756
607,658,Authority,Male,MORENA,Funcionario(a),Federal,Seguridad (e.g. policías; fuerzas del orden),Kidnapping,Comando armado,2022-06-13,Veracruz_de_Ignacio_de_la_Llave,30,8062579,4190805,3871774,2228480,2081892,2445.4415210688594,8.628476875642344,619.370811921891,3.32551901336074,261684.516
