Number,ID.1,event_id,victim_id,victim_type,victim_name,victim_gender,party1,party2,party3,party4,coallition,1stpoliticaloffice,2ndpoliticaloffice,3rdpoliticaloffice,general_category_1,general_category_2,general_category_3,level_of_government,government_area,event_type,aggressor,remarks_on_the_crime,date,state,municipal,INEGIcode,MunINEGIcode,Entity,Totalpopulation,Female_population,Male_population,economically_active_population,No_health_services_pop,12_year_old_single_population,ID.1,avg_scholarity,home_count,average_number_in_home,GDP,Concepto
49,GRO-2018-04-13,38,43,Party,Ricardo Bravo Lázaro,Male,MORENA,,,,,Ex-Dirigente de Morena en Guerrero,,,Militante,,,Municipal,Elections and Campaigns,Murder,Sujeto(s) armado(s),Hombres en motocicleta,2018-04-13,Guerrero,Eduardo Neri,12,75,12,3540685,1840073,1700612,1635187,891961,870839,1415.5813780260708,7.39683426443203,490.22830540037245,3.786890130353817,240749.756,Guerrero
50,GRO-2018-04-16,39,44,Authority,No disponible,Male,PRI,,,,,Hijo del regidor Juan Bartolo Valle,,,Familiar,,,Municipal,Executive,Murder,Sujeto(s) armado(s),,2018-04-16,Guerrero,Zihuatanejo de Azueta,12,38,12,3540685,1840073,1700612,1635187,891961,870839,1415.5813780260708,7.39683426443203,490.22830540037245,3.786890130353817,240749.756,Guerrero
51,MIC-2018-04-18,40,45,Party,Yolanda Mayela Macías,Female,PRD,,,,,Colaboradora de candidato a la alcaldúa de Venustiano Carranza,,,Colaborador(a),,,Municipal,Elections and Campaigns,Murder,No identificado,,2018-04-18,Michoacan_de_Ocampo,Venustiano Carranza,16,103,16,4748846,2442505,2306341,2296059,1784629,1197488,1352.850166481687,8.089049204587496,635.433962264151,3.633529411764706,,
52,GRO-2018-04-19,41,46,Party,Edel Chona Morales,Male,PRI,,,,,Candidato del PRI a diputación federal,,,Candidato(a),,,State,Elections and Campaigns,Armed Attack,No identificado,,2018-04-19,Guerrero,Acapulco de Juárez,12,1,12,3540685,1840073,1700612,1635187,891961,870839,1415.5813780260708,7.39683426443203,490.22830540037245,3.786890130353817,240749.756,Guerrero
53,MEX-2018-04-19,42,47,Party,Sebastián Alejandro Espejel,Male,PAN,PRD,MC,,Sí,Candidato a regidor,Militante,,Candidato(a),Militante,,Municipal,Elections and Campaigns,Murder,Sujeto(s) armado(s),2 sujetos armados,2018-04-19,Mexico,Tepetlaoxtoc,15,93,15,16992418,8741123,8251295,8544416,5672574,4799091,9822.752444987775,10.071827628361858,825.7169926650366,3.6701894865525673,,
54,GRO-2018-04-27,43,48,Party,Silvia Rivera Carbajal,Female,MORENA,,,,,Candidata a diputación local distrito XVIII,,,Candidato(a),,,State,Elections and Campaigns,Threat,No identificado,,2018-04-27,Guerrero,Chilpancingo de los Bravo,12,29,12,3540685,1840073,1700612,1635187,891961,870839,1415.5813780260708,7.39683426443203,490.22830540037245,3.786890130353817,240749.756,Guerrero
55,GRO-2018-05-03,44,49,Authority,Elías Damián Rodríguez,Male,PRI,PVEM,,,Sí,Secretario particular de alcalde Constantino García Cisneros,,,Funcionario(a),,,Municipal,Executive,Murder,No identificado,,2018-05-03,Guerrero,Cuajinicuilapa,12,23,12,3540685,1840073,1700612,1635187,891961,870839,1415.5813780260708,7.39683426443203,490.22830540037245,3.786890130353817,240749.756,Guerrero
56,HGO-2018-05-03,45,50,Authority,Alejandro González Ramos,Male,PAN,,,,,Alcalde de Pacula,,,Alcalde(sa),,,Municipal,Executive,Murder,Sujeto(s) armado(s),Hombre en motocicleta,2018-05-03,Hidalgo,Pacula,13,47,13,3082841,1601462,1481379,1502364,928550,805091,908.9313280363224,8.592979568671964,679.9188422247446,3.593098751418842,272452.995,Hidalgo
57,MEX-2018-05-04,46,51,Party,Addiel Zermann Miguel,Male,MORENA,PES,PT,,Sí,Candidato a alcalde,Militante,Alcalde con licencia,Candidato(a),Militante,,Municipal,Elections and Campaigns,Murder,No identificado,,2018-05-04,Mexico,Ixtapaluca,15,39,15,16992418,8741123,8251295,8544416,5672574,4799091,9822.752444987775,10.071827628361858,825.7169926650366,3.6701894865525673,,
58,CHH-2018-05-06,47,52,Party,Liliana García,Female,PRD,,,,,Candidato a regidor,,,Candidato(a),,,Municipal,Elections and Campaigns,Murder,La Línea,,2018-05-06,Chihuahua,Ignacio Zaragoza,8,34,8,3741869,1888047,1853822,1863623,574108,1019091,2064.8682316118934,9.426801251956181,438.73708920187795,3.156682316118936,572880.305,Chihuahua
59,CHH-2018-05-06,47,53,Party,Felipe Mendoza,Male,PRD,,,,,Candidato a alcalde,,,Candidato(a),,,Municipal,Elections and Campaigns,Assault,La Línea,,2018-05-06,Chihuahua,Ignacio Zaragoza,8,34,8,3741869,1888047,1853822,1863623,574108,1019091,2064.8682316118934,9.426801251956181,438.73708920187795,3.156682316118936,572880.305,Chihuahua
60,CHH-2018-05-06,47,54,Party,Octavio Chaparro,Male,PRD,,,,,Dirigente del partido a nivel municipal,,,Dirigente,,,Municipal,Elections and Campaigns,Assault,La Línea,,2018-05-06,Chihuahua,Ignacio Zaragoza,8,34,8,3741869,1888047,1853822,1863623,574108,1019091,2064.8682316118934,9.426801251956181,438.73708920187795,3.156682316118936,572880.305,Chihuahua
61,CHH-2018-05-06,48,55,Party,Eduardo Aragón Caraveo,Male,PES,,,,,Dirigente del partido a nivel estatal,,,Dirigente,,,State,Elections and Campaigns,Murder,No identificado,,2018-05-06,Chihuahua,Aldama,8,2,8,3741869,1888047,1853822,1863623,574108,1019091,2064.8682316118934,9.426801251956181,438.73708920187795,3.156682316118936,572880.305,Chihuahua
62,OAX-2018-05-06,49,56,Authority,Gonzalo Vázquez Jiménez,Male,PRI,,,,,Síndico procurador,Líder indígena,,Síndico(a),Militante,,Municipal,Executive,Murder,No identificado,,2018-05-06,Oaxaca,Santa María Huazolotitlán,20,414,20,4132148,2157305,1974843,1825593,1215990,1054399,1247.6970552642194,7.563336022589754,633.5691811214199,3.587277127874143,252892.486,Oaxaca
63,GRO-2018-05-08,50,57,Authority,Abel Montúfar Mendoza,Male,PRI,,,,,Alcalde con licencia de Coyuca,Candidato(a) a diputación local por el distrito 17,,Alcalde(sa),Candidato(a),,State,Executive,Murder,No identificado,,2018-05-08,Guerrero,Coyuca de Catalán,12,22,12,3540685,1840073,1700612,1635187,891961,870839,1415.5813780260708,7.39683426443203,490.22830540037245,3.786890130353817,240749.756,Guerrero
