"","id","id_evento","id_victima","tipo_vic","nom_vic","genero_vic","partido1","partido2","partido3","partido4","coalicion","puesto1","puesto2","puesto3","cat_puesto1","cat_puesto2","cat_puesto3","nivel_gob","area_gob","tipo_evento","agresor","Obs_agresor","fecha","estado","municipio","cve_edoINEGI","cve_munINEGI"
"310","VER-2020-03-17",263,295,"Autoridad","Raymundo Elmer Prior Reyes","Hombre","PAN","","","","","Director de la policía municipal","","","Funcionario(a)","","","Municipal","Seguridad (e.g. policías; fuerzas del orden)","Asesinato","Sujeto(s) armado(s)","","2020-03-17","Veracruz_de_Ignacio_de_la_Llave","San Juan Evangelista","30","142"
"311","GTO-2020-04-07",564,612,"Autoridad","Luis Enrique Linares","Hombre","PRI","","","","","Director de Desarrollo Rural","Dirigente de la Confederación Nacional Campesina del PRI","","Funcionario(a)","Dirigente","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Secuestro","Sujeto(s) armado(s)","","2020-04-07","Guanajuato","Villagrán","11","044"
"312","GTO-2020-04-10",565,612,"Autoridad","Luis Enrique Linares","Hombre","PRI","","","","","Director de Desarrollo Rural","Dirigente de la Confederación Nacional Campesina del PRI","","Funcionario(a)","Dirigente","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2020-04-10","Guanajuato","Villagrán","11","044"
"313","VER-2020-04-14",264,296,"Autoridad","María del Carmen Hernández","Mujer","PRD","","","","","Regidora","","","Regidor(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","","2020-04-14","Veracruz_de_Ignacio_de_la_Llave","Texcatepec","30","170"
"314","VER-2020-04-16",265,297,"Autoridad","Román Moreno Méndez","Hombre","No disponible","","","","","Hijo del Ex-Regidor de Huatusco, Adrián Moreno Villafuerte","","","Familiar","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","Fueron interceptados mientras viajaba en su coche","2020-04-16","Veracruz_de_Ignacio_de_la_Llave","Huatusco","30","071"
"315","VER-2020-04-27",266,298,"Autoridad","Raúl Téllez de la Sancha","Hombre","PRD","","","","","Fiscal Quinto en la Unidad Integral de Procuración de Justicia","","","Funcionario(a)","","","Municipal","Judicial","Asesinato","Sicarios","","2020-04-27","Veracruz_de_Ignacio_de_la_Llave","Acayucan","30","003"
"316","COL-2020-04-29",267,299,"Autoridad","Francis Anel Bueno Sánchez","Mujer","MORENA","","","","No","Diputada Local","","","Diputado(a)","","","Estatal","Legislativo","Secuestro","Comando armado","","2020-04-29","Colima","Ixtlahuacán","06","006"
"317","OAX-2020-05-06",268,300,"Autoridad","Gabriel Reyes Begines","Hombre","MORENA","","","","","Regidor","Dirigente de la Unión General, Obrero, Campesino y Popular","Ex-Militante del PT y Ex-Consejero estatal del PRD","Regidor(a)","Ex-Dirigente","Ex-militante","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","Asesinado a balazos","2020-05-06","Oaxaca","San Juan Bautista Tuxtepec","20","184"
"318","OAX-2020-05-08",269,301,"Autoridad","Lizbeth Victoria Huerta","Mujer","MORENA","","","","","Alcalde","","","Alcalde(sa)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Amenaza","No identificado","Narcomanta","2020-05-08","Oaxaca","Asunción Nochixtlán","20","006"
"319","VER-2020-05-11",270,302,"Autoridad","Manuel Chacón López","Hombre","PVEM","","","","","Director de seguridad pública municipal","","","Funcionario(a)","","","Municipal","Seguridad (e.g. policías; fuerzas del orden)","Asesinato","No identificado","","2020-05-11","Veracruz_de_Ignacio_de_la_Llave","Huatusco","30","071"
"320","GRO-2020-05-12",271,303,"Autoridad","Víctor Hugo Romero Valencia","Hombre","OTRO","","","","","Síndico procurador de Tixtla","","","Síndico(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2020-05-12","Guerrero","Tixtla de Guerrero","12","061"
"321","MOR-2020-05-21",272,304,"Autoridad","Alfonso Isaac Gamboa Lozano","Hombre","PRI","","","","","Ex-Titular de la Unidad de Política y Control Presupuestal de Hacienda","","","Ex-Funcionario(a)","","","Federal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","Cuatro hombres armados","2020-05-21","Morelos","Temixco","17","018"
"322","VER-2020-05-27",273,305,"Autoridad","Valentín Díaz Reyes","Hombre","No disponible","","","","","Ex-Comandante de la Policía Municipal de Jáltipan, Veracruz","Ex-Jefe de penales en San Luis Potosí","","Ex-Funcionario(a)","","","Municipal","Seguridad (e.g. policías; fuerzas del orden)","Asesinato","Sujeto(s) armado(s)","Sujetos con armas largas","2020-05-27","Veracruz_de_Ignacio_de_la_Llave","Jáltipan","30","089"
"323","JAL-2020-05-31",274,306,"Autoridad","Oswaldo García Vallejo","Hombre","MC","","","","","Director de la Policía de Jalostotitlán, Jalisco","","","Funcionario(a)","","","Municipal","Seguridad (e.g. policías; fuerzas del orden)","Asesinato","Sujeto(s) armado(s)","Tres sujetos con armas largas","2020-05-31","Jalisco","Zapotlanejo","14","124"
"324","COL-2020-06-01",275,299,"Autoridad","Francis Anel Bueno Sánchez","Mujer","MORENA","","","","No","Diputada Local","","","Diputado(a)","","","Estatal","Legislativo","Asesinato","No identificado","","2020-06-01","Colima","Ixtlahuacán","06","006"
"325","MEX-2020-06-03",276,307,"Autoridad","Guillermo Esquivel Esquivel","Hombre","MORENA","","","","","Regidor","","","Regidor(a)","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","","2020-06-03","Mexico","La Paz","15","070"
"326","VER-2020-06-04",277,308,"Autoridad","Silvia Beatriz Cuevas Quiñones","Mujer","No disponible","","","","","Hija de la síndicoa de Sayula de Alemán","","","Familiar","","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","No identificado","","2020-06-04","Veracruz_de_Ignacio_de_la_Llave","Acayucan","30","003"
"327","MEX-2020-06-06",278,309,"Autoridad","Ramón Rodrigo Martínez","Hombre","PRD","","","","","Regidor","Presidente del Comité Municipal del PRD","","Regidor(a)","Dirigente","","Municipal","Ejecutivo (e.g. alcaldes y gobernadores junto con gabinetes)","Asesinato","Sujeto(s) armado(s)","","2020-06-06","Mexico","Tonanitla","15","125"
"328","VER-2020-06-12",279,310,"Autoridad","Amado Mérida Ruiz","Hombre","PAN","","","","","Director de la policía en Ciudad Isla","","","Funcionario(a)","","","Municipal","Seguridad (e.g. policías; fuerzas del orden)","Asesinato","No identificado","","2020-06-12","Veracruz_de_Ignacio_de_la_Llave","Isla","30","077"
"329","COL-2020-06-16",280,311,"Autoridad","Uriel Villegas Ortiz","Hombre","MC","","","","","Juez Federal","","","Funcionario(a)","","","Federal","Judicial","Asesinato","Sujeto(s) armado(s)","","2020-06-16","Colima","Colima","06","002"
"330","COL-2020-06-16",280,312,"Autoridad","Verónica Barajas","Mujer","MC","","","","","Esposa de Juez Federal","","","Familiar","","","Federal","Judicial","Asesinato","Sujeto(s) armado(s)","","2020-06-16","Colima","Colima","06","002"
"331","MIC-2020-06-18",281,313,"Autoridad","César Iván Marín Juárez","Hombre","MORENA","","","","","Director de Seguridad Pública de Zamora","","","Funcionario(a)","","","Municipal","Seguridad (e.g. policías; fuerzas del orden)","Asesinato","No identificado","","2020-06-18","Michoacan_de_Ocampo","Churintzio","16","028"
